"replicate","arm","all_quantile_log_rmse","extreme_quantile_log_rmse"
46,"Free-margin fit",1.03573300230052,1.61998421351287
47,"Free-margin fit",0.257337918536307,0.347563388035864
48,"Free-margin fit",0.525767945605589,0.741351531627215
49,"Free-margin fit",0.0557379692151589,0.0439085048367221
50,"Free-margin fit",0.908383673085398,1.40192613893456
51,"Free-margin fit",0.824306369017392,1.28226862089938
52,"Free-margin fit",0.2861884637098,0.373478467320326
53,"Free-margin fit",0.267635556787902,0.372813662723592
54,"Free-margin fit",0.384456697727632,0.579447067721099
55,"Free-margin fit",0.167163854165009,0.135325899157942
56,"Free-margin fit",0.0450189597031702,0.0247086603576101
57,"Free-margin fit",0.289368169748324,0.362046506501985
58,"Free-margin fit",0.205889249289168,0.297002713346583
59,"Free-margin fit",0.0513746694261305,0.0582499013799814
60,"Free-margin fit",0.235776903421373,0.339350727029765
61,"Free-margin fit",0.273325643214141,0.37037352500349
62,"Free-margin fit",0.0720133674282014,0.082914683085191
63,"Free-margin fit",0.0723463165951229,0.0724373108064462
64,"Free-margin fit",0.255282910876716,0.336416703499342
65,"Free-margin fit",0.201551500954586,0.259804339218452
66,"Free-margin fit",0.104814857532454,0.0667035566181005
67,"Free-margin fit",0.177762128986735,0.271715714381518
68,"Free-margin fit",0.506763425615516,0.71327761021874
69,"Free-margin fit",0.109111049458913,0.127818155464223
70,"Free-margin fit",0.210956561394215,0.287199920273336
71,"Free-margin fit",0.0956337980485826,0.134678466748516
72,"Free-margin fit",0.820011138245544,1.28750976844003
73,"Free-margin fit",0.363687130899836,0.517384027149144
74,"Free-margin fit",0.418892788214736,0.581506483815556
75,"Free-margin fit",0.107655314702171,0.136815544356416
76,"Free-margin fit",0.149579939017338,0.184835359089067
77,"Free-margin fit",0.24851781762691,0.363881893830763
78,"Free-margin fit",0.122832461768959,0.11962534511915
79,"Free-margin fit",0.281823206765909,0.417517690748198
80,"Free-margin fit",0.365624377084925,0.499868494268376
81,"Free-margin fit",0.0872518063996728,0.100178116375149
82,"Free-margin fit",0.063659965418314,0.0800285373497217
83,"Free-margin fit",0.253648905141033,0.368815310448721
84,"Free-margin fit",0.0993475854939177,0.124723670296342
85,"Free-margin fit",1.175659380507,1.80352154814554
86,"Free-margin fit",0.157674458431817,0.228466253651537
87,"Free-margin fit",0.0929338921493068,0.112705094348242
88,"Free-margin fit",0.543093302081961,0.835973916620132
89,"Free-margin fit",0.246303770694933,0.366916286416588
90,"Free-margin fit",0.245271700242124,0.336612112291185
91,"Free-margin fit",0.778732074210866,1.2209461843723
92,"Free-margin fit",0.156340186538266,0.234766351601678
93,"Free-margin fit",0.18731770211122,0.255724935736016
94,"Free-margin fit",0.0613217529220102,0.0623230711733447
95,"Free-margin fit",0.92637010879857,1.44826436907261
96,"Free-margin fit",0.0357015253221502,0.030509980831198
97,"Free-margin fit",0.065404285731908,0.09369130344852
98,"Free-margin fit",0.480505186922631,0.711377408712158
99,"Free-margin fit",0.147339765494291,0.209811896589698
100,"Free-margin fit",0.168787446871062,0.254694505458502
101,"Free-margin fit",0.648691963435068,0.974421021050588
102,"Free-margin fit",0.521234799720237,0.791808955037521
103,"Free-margin fit",0.207575935436452,0.297187708220562
104,"Free-margin fit",0.240980043804808,0.323567509153941
105,"Free-margin fit",0.108193116995423,0.163349119973018
106,"Free-margin fit",0.115991337048195,0.154509255497001
107,"Free-margin fit",0.373192203781949,0.57446885127054
108,"Free-margin fit",0.104528661329227,0.0976406686535841
109,"Free-margin fit",0.415617208859632,0.587373242696837
110,"Free-margin fit",0.947562819545473,1.46710946990634
111,"Free-margin fit",0.581439690579309,0.823008398518475
112,"Free-margin fit",0.109536827828307,0.0963048878649686
113,"Free-margin fit",0.123399117612927,0.183581082575515
114,"Free-margin fit",0.0964151395928529,0.144266278613442
115,"Free-margin fit",0.307831923746823,0.406495647751306
116,"Free-margin fit",0.341910271287194,0.494387199247242
117,"Free-margin fit",0.156417406363555,0.239166174596154
118,"Free-margin fit",0.0648962332285768,0.0955761492049098
119,"Free-margin fit",0.314023194725492,0.450702153915537
120,"Free-margin fit",0.709643616213416,1.10965324370911
121,"Free-margin fit",0.096409790013653,0.12202270670751
122,"Free-margin fit",0.197673570449386,0.290901576909524
123,"Free-margin fit",0.147560938744771,0.135484982135253
124,"Free-margin fit",0.380884159162312,0.48453330971575
125,"Free-margin fit",0.146551692043217,0.188428220816833
126,"Free-margin fit",0.0984613847540223,0.125286033095378
127,"Free-margin fit",0.687903204355999,1.07650309334192
128,"Free-margin fit",0.199390896090763,0.304243929372993
129,"Free-margin fit",0.586559927522586,0.90365689866891
130,"Free-margin fit",0.115591130600608,0.108079567324257
131,"Free-margin fit",0.592360909271692,0.907127609066496
132,"Free-margin fit",0.308113116618766,0.422251815602708
133,"Free-margin fit",0.247008954497771,0.34526493292018
134,"Free-margin fit",0.345865184445952,0.500879006540314
135,"Free-margin fit",0.0506671740794614,0.0532910384381025
136,"Free-margin fit",0.333772538556609,0.516482008742751
137,"Free-margin fit",0.152448997474879,0.209669459103667
138,"Free-margin fit",0.172359401615504,0.201153562513395
139,"Free-margin fit",0.189207766612958,0.259547879994303
140,"Free-margin fit",0.210126455821621,0.286762037992752
141,"Free-margin fit",0.0753738645278572,0.103649939685984
142,"Free-margin fit",0.208764733953572,0.216185802333315
143,"Free-margin fit",0.399910236656444,0.442996815862063
144,"Free-margin fit",0.690496244320804,1.00062962360571
145,"Free-margin fit",0.882281849215068,1.38111528846286
146,"Free-margin fit",0.94744663049143,1.47688516411263
147,"Free-margin fit",0.60466787950936,0.947865891925007
148,"Free-margin fit",0.736603070960652,1.15543569737438
149,"Free-margin fit",0.411361773171414,0.581381655333339
150,"Free-margin fit",0.317447178578712,0.407830236880084
151,"Free-margin fit",0.0755397780408225,0.100775404974763
152,"Free-margin fit",0.307623613346876,0.43565757038439
153,"Free-margin fit",0.324958953523627,0.469939346913091
154,"Free-margin fit",0.133720168021776,0.105908949571686
155,"Free-margin fit",0.091074375796056,0.110220442971907
156,"Free-margin fit",0.206126730555442,0.283679479287647
157,"Free-margin fit",0.310954899859177,0.383379731329903
158,"Free-margin fit",0.20599653472907,0.13795690331884
159,"Free-margin fit",0.131627095216451,0.180824309208838
160,"Free-margin fit",0.705275480661682,1.10456449568502
161,"Free-margin fit",0.0777821576562756,0.0812654896967875
162,"Free-margin fit",0.41055002229313,0.543971546177385
163,"Free-margin fit",0.15794296834174,0.226458939921326
164,"Free-margin fit",0.175220468099971,0.249488910070451
165,"Free-margin fit",0.785847219017528,1.23219054915773
166,"Free-margin fit",0.228263805779094,0.341313580315352
167,"Free-margin fit",0.130283097422174,0.112649175455856
168,"Free-margin fit",0.142331282170991,0.187190125053951
169,"Free-margin fit",0.74217865608907,1.1644893634252
170,"Free-margin fit",0.0733061326877475,0.056182923090886
171,"Free-margin fit",0.51184509227473,0.801736086847506
172,"Free-margin fit",0.934598947918881,1.46119979406443
173,"Free-margin fit",0.254591834674934,0.372673948864427
174,"Free-margin fit",0.12499252862091,0.174240082938709
175,"Free-margin fit",0.156651105773044,0.0912115755171442
176,"Free-margin fit",0.631011052336017,0.85511242293918
177,"Free-margin fit",0.254163623303298,0.353433036997706
178,"Free-margin fit",0.0786331926597834,0.0999737789986717
179,"Free-margin fit",0.0804259628801088,0.0901802889351725
180,"Free-margin fit",0.059493231791448,0.0386696716857614
181,"Free-margin fit",0.912335275262127,1.41664062931307
182,"Free-margin fit",0.123681269720146,0.185888453508774
183,"Free-margin fit",0.0714189248611129,0.0284526269819004
184,"Free-margin fit",0.85028439790478,1.33364197917426
185,"Free-margin fit",0.181772510071929,0.20884009759579
186,"Free-margin fit",0.288316477135384,0.389865783955413
187,"Free-margin fit",0.292426081616227,0.34187598988799
188,"Free-margin fit",0.858190688182922,1.34594863879479
189,"Free-margin fit",0.0856616496264201,0.105254177111669
190,"Free-margin fit",0.0726236797267027,0.0766854954195595
191,"Free-margin fit",0.0673647835958166,0.102747472735413
192,"Free-margin fit",0.772121906826752,1.21081361617049
193,"Free-margin fit",0.334582344946579,0.471611780159766
194,"Free-margin fit",0.122055148113552,0.173131998876126
195,"Free-margin fit",0.289666319498071,0.409889678451388
196,"Free-margin fit",0.243228589955624,0.347488640147752
197,"Free-margin fit",0.359962976065044,0.502352786266321
198,"Free-margin fit",0.296920437333341,0.430763087566368
199,"Free-margin fit",0.313673747948326,0.455744425603363
200,"Free-margin fit",0.341514656846701,0.400309368253189
