"arm","probability","time","lower","median","upper"
"Free-margin fit",0.9,8,2.66544890365331,2.91124709921998,3.09295927044833
"Generating model",0.9,8,2.91933102246858,2.92873263340659,2.93799114270648
"Lognormal fit",0.9,8,2.6877649078652,2.79823169398625,2.94589475539908
"Free-margin fit",0.99,8,4.6401886784355,5.0549707150163,5.58725991507016
"Generating model",0.99,8,5.02741564231867,5.06264592041432,5.09881512276149
"Lognormal fit",0.99,8,4.23353445438233,4.43820793126806,4.67328416926835
"Free-margin fit",0.01,16,0.000167280687822853,0.000396897805943579,0.000732467619043498
"Generating model",0.01,16,0.000254662134793158,0.000278805960460162,0.000307236810953711
"Lognormal fit",0.01,16,6.38077061845377e-06,1.95113132483015e-05,5.39808033131245e-05
"Free-margin fit",0.1,16,0.00677011064751755,0.00937319821422877,0.0187140280593285
"Generating model",0.1,16,0.0108825246271619,0.0110289798694801,0.011274158032034
"Lognormal fit",0.1,16,0.00532627192484481,0.00760229456822641,0.0134851648872489
"Free-margin fit",0.5,16,0.151107481202542,0.230853341701775,0.298094410088427
"Generating model",0.5,16,0.240554910837476,0.243034074230534,0.246777225903821
"Lognormal fit",0.5,16,0.240659181490605,0.271791604314158,0.353434710971929
"Free-margin fit",0.9,16,1.34648629850048,1.55915788183687,1.74010493180461
"Generating model",0.9,16,1.57105996779846,1.57550983928766,1.58551580044771
"Lognormal fit",0.9,16,1.3467090965455,1.42818693826534,1.58114583290524
"Free-margin fit",0.99,16,3.31330888505335,3.84494728185241,4.36198169366965
"Generating model",0.99,16,3.77517250525885,3.79483020698746,3.83570604433378
"Lognormal fit",0.99,16,2.78579510835825,2.94494655186661,3.13515747429837
"Free-margin fit",0.01,24,9.70790531122028e-07,3.55102343962068e-06,9.13239108583021e-06
"Generating model",0.01,24,1.79878779618872e-06,2.08335539675815e-06,2.44139853242787e-06
"Lognormal fit",0.01,24,1.00607272983e-08,4.12941984243151e-08,1.77649788889719e-07
"Free-margin fit",0.1,24,0.000252372381236692,0.000413494934373941,0.00117711208681871
"Generating model",0.1,24,0.000512683549759502,0.00052596234343519,0.0005433414282638
"Lognormal fit",0.1,24,0.000176944904302786,0.000307992531740358,0.000707317784199356
"Free-margin fit",0.5,24,0.0268578230282766,0.0510899419993105,0.0742697581376694
"Generating model",0.5,24,0.0537262508033569,0.0544885564248617,0.0557164649435552
"Lognormal fit",0.5,24,0.053308313168592,0.0648265810587201,0.0953369613815248
"Free-margin fit",0.9,24,0.689722860970925,0.851484385168388,1.00143326921126
"Generating model",0.9,24,0.859362608981382,0.862203823286043,0.874830241970286
"Lognormal fit",0.9,24,0.686541867379844,0.746640138700024,0.867385341735402
"Free-margin fit",0.99,24,2.44145525648964,2.95052738288407,3.57468252039286
"Generating model",0.99,24,2.93370671975897,2.97380215023559,3.0437370205489
"Lognormal fit",0.99,24,1.91524022158644,2.04942737311329,2.2101142334593
