"replicate","arm_gaussian","family_gaussian","shape_gaussian","sd_gaussian","tail_probability_gaussian","V_gaussian","CL_gaussian","residual_gaussian","log_likelihood_gaussian","likelihood_mcse_gaussian","runtime_seconds_gaussian","selection_seconds_gaussian","selected_families_gaussian","retained_standard_gaussian","arm_flexible","family_flexible","shape_flexible","sd_flexible","tail_probability_flexible","V_flexible","CL_flexible","residual_flexible","log_likelihood_flexible","likelihood_mcse_flexible","runtime_seconds_flexible","selection_seconds_flexible","selected_families_flexible","retained_standard_flexible","likelihood_gain","likelihood_difference_mcse","runtime_ratio"
155,"Lognormal fit","lognormal",NA,3.2196037583927,0.09704,19.7882669519509,3.30361948886101,0.123998763988067,-177.509988373633,0.501621242494144,38.46,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.17026346827052,2.985007577996,0.11601,19.8865996015623,3.42959725582231,0.124157556077461,-178.063276919697,0.537086902057507,69.0599999999999,95.2599999999998,"lognormal/gamma",FALSE,-0.553288546064437,0.734905579842131,1.79563182527301
156,"Lognormal fit","lognormal",NA,3.65621553893879,0.12735,20.4840146878959,3.59079391932577,0.119253506403191,-4.53425251538416,0.529284167801371,36.9699999999998,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.2449849220597,3.07260260234898,0.12885,20.4476098941686,3.61945195420767,0.11936169791338,1.63315677446707,0.52572523860716,83.9000000000005,95.0700000000002,"lognormal/gamma",FALSE,6.16740928985123,0.746008550080859,2.26940762780636
157,"Lognormal fit","lognormal",NA,3.18522111421622,0.0917,19.7870591823119,3.21806766922613,0.116889908705132,-147.027246194089,0.482622558710772,40.1000000000004,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.46795632149063,2.48014425810114,0.0686,19.8893352254984,3.14181274757196,0.116970721744978,-142.085258618203,0.520348676838648,80.2400000000007,95.1099999999997,"lognormal/gamma",FALSE,4.9419875758858,0.709709292361502,2.00099750623441
158,"Lognormal fit","lognormal",NA,3.12294047389976,0.11668,20.6037952065651,3.92959197969859,0.120217553790067,104.067534722379,0.542017540115268,35.8400000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","weibull",1.99020145316351,2.49942634246363,0.1088,20.4743001281201,4.01929344021597,0.120005507188435,117.045653238684,0.561444256034776,63.71,76.8699999999999,"lognormal/weibull",FALSE,12.9781185163047,0.780386229009104,1.77762276785714
159,"Lognormal fit","lognormal",NA,3.57655342236514,0.12548,20.9545657757194,3.61406729692505,0.122151411379694,-34.0106226187524,0.497795245925501,37.4500000000007,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.31941516688578,3.06361664208338,0.13368,21.1749877844958,3.69919318209605,0.122162017472989,-24.2510019314459,0.570104414184692,82.6700000000001,90.75,"lognormal/gamma",FALSE,9.75962068730652,0.756848168352742,2.20747663551398
160,"Lognormal fit","lognormal",NA,3.2490733888818,0.09887,19.3115872978156,3.30575341118471,0.124815075071559,-165.332774482813,0.515009317659661,35.7700000000004,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.2735881163601,0.09954,19.3115872978156,3.30575341118471,0.124815075071559,-165.332774482813,0.515009317659661,0,306.7,"lognormal/lognormal",TRUE,0,0.728333161782806,0
161,"Lognormal fit","lognormal",NA,3.27978376756219,0.09818,20.0319997967167,3.27254106573417,0.121451254742735,-158.446528328867,0.499142295481817,42.5900000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.14920760105463,2.95565293123464,0.11112,20.4426739394505,3.37914736970298,0.121488508704814,-154.760134262501,0.513488933904199,87.25,104.87,"lognormal/gamma",FALSE,3.68639406636558,0.716110268311332,2.04860295844094
162,"Lognormal fit","lognormal",NA,3.81739185360697,0.13958,20.3956638122881,3.79025845103531,0.119441455406113,108.97911213818,0.530916211553909,39.2399999999998,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.31252386346979,3.23357268495341,0.15392,20.8055230054709,3.89588171092885,0.119169087060483,114.760671501998,0.562924459949412,72.6900000000001,89.0799999999999,"lognormal/gamma",FALSE,5.78155936381783,0.773793235496468,1.85244648318044
163,"Lognormal fit","lognormal",NA,3.32386965096534,0.10797,19.7698863772676,3.45082136060908,0.122026606764587,-72.8653075393592,0.512257798071032,37.4200000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","weibull",1.67821939378197,2.69083255697632,0.10304,19.7611633327478,3.47966955464224,0.121966729171286,-63.5262215834971,0.553698602872423,63.8999999999996,95.2599999999998,"lognormal/weibull",FALSE,9.33908595586206,0.754314387047904,1.70764297167289
164,"Lognormal fit","lognormal",NA,3.25244133859573,0.10302,20.7291292142207,3.44014928894716,0.120021487453784,-114.479190706833,0.486871103953938,38.5900000000001,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.4540219731428,2.7801958765527,0.10462,20.9901304817999,3.509157254296,0.119963728926923,-108.436377791125,0.525295573496986,83.96,90.8800000000001,"lognormal/gamma",FALSE,6.04281291570865,0.716225461290545,2.17569318476288
165,"Lognormal fit","lognormal",NA,3.32316084441327,0.10689,20.3917815539744,3.40932631808747,0.121417983282051,-93.4994876639058,0.52647890094824,31.1099999999997,0,"lognormal/lognormal",FALSE,"Free-margin fit","lognormal",NA,3.36729731503949,0.10906,20.3917815539744,3.40932631808747,0.121417983282051,-93.4994876639058,0.52647890094824,0,343.96,"lognormal/lognormal",TRUE,0,0.744553602024282,0
166,"Lognormal fit","lognormal",NA,3.09211554817403,0.1056,20.1633311386154,3.63255114971448,0.116735263783702,-56.143209152358,0.492387077841905,37.5299999999997,0,"lognormal/lognormal",FALSE,"Free-margin fit","gamma",2.71580180448973,2.75301390175466,0.10879,20.0893536799712,3.71549369205658,0.116935008694094,-49.584994356987,0.506002808034631,75.8900000000003,90.4500000000007,"lognormal/gamma",FALSE,6.55821479537104,0.706033905818001,2.0221156408207
