"generating_family","replicate","candidate","incumbent_sd","direct_sd","posterior_sd","direct_loglik","posterior_loglik","posterior_minus_direct","posterior_mcse","median_ess_fraction","minimum_ess_fraction"
"normal",12,"laplace",0.24106216217031,0.225243088930519,0.220087063237058,-98.378019221348,-98.4684503424122,-0.090431121064185,0.105360328755505,0.868106553596784,0.195742559131806
"laplace",1,"normal",0.283009713877693,0.283009651960897,0.273564251535884,-100.855562990041,-100.851670723966,0.00389226607472892,0.0102281414447229,0.998206609583891,0.994558353103383
"laplace",1,"laplace",0.283009713877693,0.2689534780362,0.252922012424146,-100.982229321,-101.016756919322,-0.0345275983224553,0.105775419047583,0.861130078913636,0.197795898405255
"laplace",2,"normal",0.679283481869769,0.67929331283393,0.678546663118136,-132.05818505965,-132.058147461377,3.75982722573553e-05,0.000284699039641936,0.999999077220478,0.999991323255059
"laplace",2,"laplace",0.679283481869769,0.689417436518691,0.687859557905422,-132.695924293557,-132.625505910246,0.0704183833107379,0.0867411669451904,0.913486150831949,0.301663590036414
"laplace",3,"normal",0.503319624808184,0.503319991509576,0.50391766012822,-117.45129828696,-117.451274220459,2.40665005151186e-05,0.000342394709276974,0.999998503218947,0.9999850805176
"laplace",3,"laplace",0.503319624808184,0.504310555086141,0.504870124091928,-117.210101000838,-117.257452383008,-0.0473513821699356,0.115189252682272,0.906211812345632,0.154775479786504
"laplace",4,"normal",0.574000795832974,0.573989761749115,0.569064163973931,-123.302750073982,-123.300960208576,0.00178986540562676,0.00236409280837373,0.999930879934387,0.999421460332076
"laplace",4,"laplace",0.574000795832974,0.580407613257437,0.569947264138196,-123.138834067508,-123.391230763678,-0.252396696169782,0.0900224351833962,0.906412298995542,0.349838867190514
"laplace",5,"normal",0.377099149927459,0.377093215421776,0.385615162068448,-107.456386944673,-107.4526039535,0.00378299117227243,0.00694223849616768,0.99933876705497,0.995611315585762
"laplace",5,"laplace",0.377099149927459,0.389393877342686,0.420487225330748,-107.046246090629,-106.670822882016,0.375423208613228,0.399265352558662,0.921972488712933,0.00377018663328641
"laplace",6,"normal",0.394410083744021,0.394409464381528,0.390403993557506,-108.768707283986,-108.767754490726,0.000952793259102691,0.00304909411939311,0.999868492545734,0.999274134118845
"laplace",6,"laplace",0.394410083744021,0.389611826901873,0.374439571008225,-108.9375548371,-109.179571824925,-0.242016987825409,0.0914906926974555,0.88811204631036,0.389647592251221
"laplace",7,"normal",0.311046089138303,0.311049551283361,0.313285602249984,-102.712862962749,-102.712620611206,0.000242351543619179,0.00223058094009329,0.999918091802626,0.999695227037521
"laplace",7,"laplace",0.311046089138303,0.299512798394055,0.289290727674626,-102.85472428039,-102.894141476106,-0.0394171957159415,0.100386099989554,0.874962458942013,0.350492505674075
"laplace",8,"normal",0.404771756143908,0.404770491987675,0.402220042352585,-109.565420743296,-109.564992679881,0.00042806341535595,0.00187912842042668,0.999946635758237,0.999722308209611
"laplace",8,"laplace",0.404771756143908,0.392725042036988,0.389104848551285,-109.95183220856,-110.042828775762,-0.0909965672019695,0.108243140140806,0.889098794305675,0.262505670067886
"laplace",9,"normal",0.344516093623551,0.344509931076307,0.344438126938365,-105.058889523027,-105.058889258597,2.64429957042012e-07,6.93192204885572e-05,0.999999919466832,0.999999695100881
"laplace",9,"laplace",0.344516093623551,0.329484233310016,0.356773644828114,-105.322139042001,-105.196265618509,0.12587342349218,0.172632596893016,0.903498132060107,0.0662650160360601
"laplace",10,"normal",0.414913436223475,0.414912437931137,0.4080329903572,-110.352656462202,-110.349716640464,0.00293982173798213,0.00492824669836168,0.999644866263133,0.997458645711139
"laplace",10,"laplace",0.414913436223475,0.420259436780435,0.397386276671046,-109.991909979698,-110.113402181229,-0.12149220153124,0.106666452356572,0.890430312799825,0.218579292867504
"laplace",11,"normal",0.35076458996774,0.350770675802672,0.347495514443528,-105.510627671753,-105.51007038711,0.000557284642624722,0.00284079016892065,0.999874875519524,0.999196829698673
"laplace",11,"laplace",0.35076458996774,0.352597676109901,0.331687392983502,-105.396953241911,-105.555964377361,-0.159011135449504,0.102871295429985,0.883696123252782,0.197220586321636
"laplace",12,"normal",0.358216401935365,0.358216614006314,0.365151179053739,-106.054532451289,-106.051623994048,0.00290845724080668,0.00593129758135536,0.999478199555196,0.997597896739487
"laplace",12,"laplace",0.358216401935365,0.353394678069288,0.353400365773437,-106.158905692773,-106.406525583376,-0.247619890602905,0.105301599119291,0.895827571183391,0.251839410335245
