"arm","probability","CRP","lower_100","median_100","upper_100","lower_all","median_all","upper_all","change_lower","change_median","change_upper"
"flexible",0.333446540880503,23.7829364685661,2.6983056384954,2.77092100526229,2.86540395923016,2.68832175683418,2.76780097591718,2.86873525680079,-0.00998388166121833,-0.0031200293451068,0.00333129757062789
"flexible",0.339666666666667,24.1270031971094,2.70707130188575,2.77893443034795,2.87422733062269,2.69702929687981,2.77705849956278,2.8774947649683,-0.0100420050059413,-0.00187593078517789,0.00326743434560361
"flexible",0.34588679245283,24.4720852795073,2.71580368179576,2.78763745274923,2.88301566843707,2.70570401326399,2.786004432709,2.88519704190555,-0.0100996685317725,-0.00163302004023569,0.00218137346847946
"flexible",0.352106918238994,24.8182587588886,2.72450561437398,2.79645160104066,2.89177184903649,2.71434872059229,2.79432870898375,2.89286823874334,-0.0101568937816925,-0.00212289205691185,0.00109638970685033
"flexible",0.358327044025157,25.1655993194285,2.73317984607429,2.80523798285253,2.90049865637712,2.72296614467462,2.80282415796637,2.90051083470118,-0.0102137013996675,-0.00241382488615205,1.21783240611961e-05
"flexible",0.364547169811321,25.514182427233,2.74182904140468,2.81387369639481,2.90918814351832,2.7315589302088,2.81129390296979,2.90868360552287,-0.0102701111958852,-0.00257979342501979,-0.000504537995444476
"flexible",0.370767295597484,25.8640834661573,2.7500692528088,2.82228624657908,2.91814983621098,2.73897660572942,2.81934388449184,2.91808643350952,-0.0110926470793791,-0.00294236208723841,-6.34027014609906e-05
"flexible",0.376987421383648,26.2153778693679,2.75796771158367,2.83067845058676,2.92715935346808,2.74861232254607,2.82734198753592,2.92746881080771,-0.00935538903760147,-0.00333646305083768,0.000309457339625396
"flexible",0.383207547169811,26.5681412473922,2.76579635839286,2.83905271579797,2.93615044981743,2.75707445746053,2.83568950181123,2.93683340699758,-0.00872190093232916,-0.00336321398673878,0.000682957180146992
"flexible",0.389427672955975,26.9224495133498,2.77360927337321,2.84741139406893,2.94512564378388,2.76552174684941,2.84506420168041,2.94618283230621,-0.00808752652379408,-0.00234719238851966,0.0010571885223345
"flexible",0.395647798742138,27.2783790060108,2.78145045411384,2.85575678719387,2.95408740110397,2.77397966149184,2.8544273840098,2.95475190993181,-0.00747079262200545,-0.00132940318406138,0.00066450882784741
"flexible",0.401867924528302,27.6360066112917,2.79079942071199,2.86431835747996,2.96303814023191,2.78246913395586,2.86348178266239,2.96309156457472,-0.00833028675613567,-0.000836574817573599,5.34243428020886e-05
"flexible",0.408088050314465,27.9954098827662,2.80014226977654,2.87251658453874,2.97204666704461,2.79095072824079,2.87218593468572,2.97270956066052,-0.00919154153575219,-0.000330649853019338,0.0006628936159081
"flexible",0.414308176100629,28.3566671617459,2.80932234239349,2.88112775474693,2.98104980381974,2.79942666121533,2.88025837319549,2.98232801581522,-0.00989568117816475,-0.000869381551440007,0.00127821199547595
"flexible",0.420528301886792,28.719857697464,2.81767687470805,2.88982751494623,2.98968965242378,2.80740829384468,2.88814223493651,2.99129370079893,-0.010268580863368,-0.00168528000971602,0.00160404837515093
"flexible",0.426748427672956,29.0850617678832,2.82555710614968,2.89818113995254,2.9981713177473,2.81629312467643,2.89625455889725,2.99997604955996,-0.00926398147324736,-0.00192658105528531,0.00180473181266816
"flexible",0.432968553459119,29.452360801637,2.83343631852876,2.90647472900453,3.00665199708303,2.82469727549078,2.90500891989315,3.00865782528362,-0.00873904303798234,-0.00146580911137884,0.00200582820058814
"flexible",0.439188679245283,29.8218375016123,2.84131648875758,2.91477001826965,3.01513381799072,2.83310416118296,2.91267932966168,3.01734120476882,-0.00821232757461665,-0.00209068860797279,0.00220738677810539
"flexible",0.445408805031447,30.1935759706762,2.84919957891854,2.92281321656112,3.02361889217921,2.84147138717908,2.92110907176749,3.0260216860731,-0.00772819173945916,-0.00170414479363323,0.00240279389388975
