"arm","probability","CRP","lower","median","upper"
"gaussian",0.408088050314465,27.9954098827662,2.70789824989427,2.77378240396768,2.88046613733053
"truth",0.408088050314465,27.9954098827662,2.86871038565275,2.86871038565275,2.86871038565275
"flexible",0.414308176100629,28.3566671617459,2.80932234239349,2.88112775474693,2.98104980381974
"gaussian",0.414308176100629,28.3566671617459,2.71437766865885,2.78045094494596,2.88685107558967
"truth",0.414308176100629,28.3566671617459,2.8775538199083,2.8775538199083,2.8775538199083
"flexible",0.420528301886792,28.719857697464,2.81767687470805,2.88982751494623,2.98968965242378
"gaussian",0.420528301886792,28.719857697464,2.72090752679576,2.78682944834893,2.89328445726186
"truth",0.420528301886792,28.719857697464,2.88639386839384,2.88639386839384,2.88639386839384
"flexible",0.426748427672956,29.0850617678832,2.82555710614968,2.89818113995254,2.9981713177473
"gaussian",0.426748427672956,29.0850617678832,2.72716867018376,2.79380406931874,2.89976796987256
"truth",0.426748427672956,29.0850617678832,2.89523278415453,2.89523278415453,2.89523278415453
"flexible",0.432968553459119,29.452360801637,2.83343631852876,2.90647472900453,3.00665199708303
"gaussian",0.432968553459119,29.452360801637,2.73297891218645,2.80106163769734,2.90630333662711
"truth",0.432968553459119,29.452360801637,2.90407279763316,2.90407279763316,2.90407279763316
"flexible",0.439188679245283,29.8218375016123,2.84131648875758,2.91477001826965,3.01513381799072
"gaussian",0.439188679245283,29.8218375016123,2.73883611392531,2.80756030054156,2.9128923191203
"truth",0.439188679245283,29.8218375016123,2.91291612084244,2.91291612084244,2.91291612084244
"flexible",0.445408805031447,30.1935759706762,2.84919957891854,2.92281321656112,3.02361889217921
"gaussian",0.445408805031447,30.1935759706762,2.74474186208069,2.81384179455443,2.91953672013044
"truth",0.445408805031447,30.1935759706762,2.92176495141522,2.92176495141522,2.92176495141522
"flexible",0.45162893081761,30.5676618400565,2.85708753981132,2.9309274679443,3.03210931932293
"gaussian",0.45162893081761,30.5676618400565,2.75069778165003,2.82017718285719,2.92623838650917
"truth",0.45162893081761,30.5676618400565,2.93062147655319,2.93062147655319,2.93062147655319
"flexible",0.457849056603774,30.944182400893,2.86498231442003,2.93895922929382,3.04060719079259
"gaussian",0.457849056603774,30.944182400893,2.75670553857646,2.8265523731684,2.93299921217869
"truth",0.457849056603774,30.944182400893,2.93948787689335,2.93948787689335,2.93948787689335
"flexible",0.464069182389937,31.323226739485,2.87285704645908,2.94699973182754,3.0491145933181
"gaussian",0.464069182389937,31.323226739485,2.76276684248077,2.83335972684711,2.93982114124862
"truth",0.464069182389937,31.323226739485,2.94836633031078,2.94836633031078,2.94836633031078
"flexible",0.470289308176101,31.7048858767809,2.88071196704193,2.95596806114832,3.05763361260089
"gaussian",0.470289308176101,31.7048858767809,2.76888344950816,2.84023065650704,2.94670617126526
"truth",0.470289308176101,31.7048858767809,2.95725901567531,2.95725901567531,2.95725901567531
"flexible",0.476509433962264,32.0892529126728,2.88857958576769,2.96581614743624,3.06616633689212
"gaussian",0.476509433962264,32.0892529126728,2.77505716530141,2.84716722814806,2.95365635660674
"truth",0.476509433962264,32.0892529126728,2.96616811657946,2.96616811657946,2.96616811657946
"flexible",0.482729559748428,32.4764231756826,2.89646183351725,2.9751775571409,3.07471486055321
"gaussian",0.482729559748428,32.4764231756826,2.78128984811311,2.85404492391813,2.96067381203847
"truth",0.482729559748428,32.4764231756826,2.9750958250543,2.9750958250543,2.9750958250543
"flexible",0.488949685534591,32.8664943786587,2.90436065014215,2.98417291423148,3.08328128761426
"gaussian",0.488949685534591,32.8664943786587,2.78758341207017,2.86051053310678,2.96776071644399
"truth",0.488949685534591,32.8664943786587,2.98404434528977,2.98404434528977,2.98404434528977
"flexible",0.495169811320755,33.2595667811319,2.91227798775796,2.99257383833162,3.09186773534639
"gaussian",0.495169811320755,33.2595667811319,2.79391469724125,2.86692427480147,2.97491931674764
"truth",0.495169811320755,33.2595667811319,2.99301589737605,2.99301589737605,2.99301589737605
"flexible",0.501389937106918,33.6557433590205,2.92021581406505,3.00099705311019,3.10047633786356
"gaussian",0.501389937106918,33.6557433590205,2.80030865997373,2.87351353911299,2.9821519320465
"truth",0.501389937106918,33.6557433590205,3.00201272108224,3.00201272108224,3.00201272108224
"flexible",0.507610062893082,34.0551299824184,2.92817611571138,3.00944466953466,3.10910924976981
"gaussian",0.507610062893082,34.0551299824184,2.80676926830504,2.88052646647778,2.98946095797024
"truth",0.507610062893082,34.0551299824184,3.01103707968903,3.01103707968903,3.01103707968903
"flexible",0.513830188679245,34.45783560225,2.93616090171212,3.01791882285749,3.11776864986789
