"replicate","arm","log_rmse"
180,"flexible",0.126281280009239
181,"gaussian",0.369129360514343
181,"flexible",0.0373883639402588
182,"gaussian",0.225028058123791
182,"flexible",0.162723442188417
183,"gaussian",0.468878591592658
183,"flexible",0.0113221771426661
184,"gaussian",0.296909472526057
184,"flexible",0.0443445609884409
185,"gaussian",0.0266087069385547
185,"flexible",0.204376549522452
186,"gaussian",0.315590503997453
186,"flexible",0.0819605136441433
187,"gaussian",0.415627107334627
187,"flexible",0.0634159881509267
188,"gaussian",0.35201241287012
188,"flexible",0.0384653919152714
189,"gaussian",0.600715487488588
189,"flexible",0.11941117067872
190,"gaussian",0.186301695771868
190,"flexible",0.0623922771914208
191,"gaussian",0.316291229794658
191,"flexible",0.0662642859516804
192,"gaussian",0.381542427142797
192,"flexible",0.0297937370250877
193,"gaussian",0.48858307971665
193,"flexible",0.120991189521586
194,"gaussian",0.401726437996984
194,"flexible",0.0366418851560296
195,"gaussian",0.182244151178875
195,"flexible",0.131032690488364
196,"gaussian",0.181561853567249
196,"flexible",0.0980106401824976
197,"gaussian",0.132570538385045
197,"flexible",0.105715073760068
198,"gaussian",0.121842405786919
198,"flexible",0.203369964885835
199,"gaussian",0.117910585053394
199,"flexible",0.202504148532037
200,"gaussian",0.359221802567151
200,"flexible",0.0403039252430236
