"replicate","log_rmse.gaussian","log_rmse.flexible","reduction_percent","difference"
77,0.401878442339287,0.0764197306268165,80.9843667697162,0.325458711712471
78,0.0369621366419469,0.138236823627621,-273.995759408402,-0.101274686985674
79,0.259756828665691,0.100545988623685,61.2922635604361,0.159210840042006
80,0.209683502908577,0.139707110287354,33.3723882187016,0.0699763926212226
81,0.196233302108178,0.197554107402181,-0.673079074659344,-0.00132080529400322
82,0.0453250964734707,0.18947690950958,-318.039726888354,-0.144151813036109
83,0.319725242133403,0.0450564400894238,85.9077626186849,0.27466880204398
84,0.993542058121283,0.254488787209857,74.3857056548691,0.739053270911426
85,0.244668658477427,0.0640566919998724,73.819003873035,0.180611966477554
86,0.0234640122710126,0.152612840142702,-550.412377815024,-0.12914882787169
87,0.78136991791298,0.147170177231623,81.1651083746978,0.634199740681358
88,0.357336631901339,0.063814959595753,82.1415007870303,0.293521672305586
89,0.0942965641304734,0.174190801253452,-84.7265622662907,-0.0798942371229783
90,0.840063344811979,0.285151552334696,66.0559463645545,0.554911792477283
91,0.257253642768034,0.0902897990445082,64.9024215661262,0.166963843723526
92,0.324310854135711,0.0439524699844186,86.4474255412906,0.280358384151293
93,0.311667107209412,0.0955861828882857,69.3306798577045,0.216080924321126
94,0.597935872056093,0.113843937914193,80.9605104435826,0.4840919341419
95,0.437269930201601,0.0516058688642602,88.1981665557319,0.385664061337341
96,0.471070337175838,0.130682355521557,72.2584197712334,0.340387981654281
97,0.243420389237081,0.0853642153902097,64.931361888889,0.158056173846871
98,0.378391302682154,0.0292901276471142,92.2593020929665,0.34910117503504
99,0.520985718159464,0.04325655601954,91.6971704766963,0.477729162139924
100,0.365448732901478,0.0573035868842116,84.319664640988,0.308145146017266
