"replicate","arm","quantile","time","value"
5,"flexible","q50",1,5.89508900272066
5,"flexible","q50",2,3.8458160597328
5,"flexible","q50",4,1.67203200981966
5,"flexible","q50",8,0.310171984406059
5,"flexible","q50",12,0.0574174345185765
5,"flexible","q90",0.25,11.1558228077973
5,"flexible","q90",0.5,9.85120395717624
5,"flexible","q90",1,7.83496808202181
5,"flexible","q90",2,5.40154721968186
5,"flexible","q90",4,2.91313783377335
5,"flexible","q90",8,0.951551502640936
5,"flexible","q90",12,0.320773261697322
6,"truth","q10",0.25,6.24774377225268
6,"truth","q10",0.5,5.62323908157432
6,"truth","q10",1,4.4643676499867
6,"truth","q10",2,2.57899725097421
6,"truth","q10",4,0.733966799028824
6,"truth","q10",8,0.0543969688640314
6,"truth","q10",12,0.00392562031931134
6,"truth","q50",0.25,8.48067086584799
6,"truth","q50",0.5,7.58197373655724
6,"truth","q50",1,6.05096989107465
6,"truth","q50",2,3.92836790594524
6,"truth","q50",4,1.68813448818037
6,"truth","q50",8,0.306565548150483
6,"truth","q50",12,0.0557052827728727
6,"truth","q90",0.25,11.464796581399
6,"truth","q90",0.5,10.1462773962201
6,"truth","q90",1,8.08004671556735
6,"truth","q90",2,5.55451076010246
6,"truth","q90",4,2.94369364738675
6,"truth","q90",8,0.926657074380812
6,"truth","q90",12,0.301350108447867
6,"gaussian","q10",0.25,6.09395420097901
6,"gaussian","q10",0.5,5.45412059894556
6,"gaussian","q10",1,4.24962865349251
6,"gaussian","q10",2,2.3292107916493
6,"gaussian","q10",4,0.600081827215216
6,"gaussian","q10",8,0.0363583951264343
6,"gaussian","q10",12,0.00210919725146623
6,"gaussian","q50",0.25,8.34728909095025
6,"gaussian","q50",0.5,7.40238399666953
6,"gaussian","q50",1,5.82303710038875
6,"gaussian","q50",2,3.67458812821289
6,"gaussian","q50",4,1.48945041576469
6,"gaussian","q50",8,0.239592362026105
6,"gaussian","q50",12,0.0386948257386268
6,"gaussian","q90",0.25,11.3706947691916
6,"gaussian","q90",0.5,9.95524241817858
6,"gaussian","q90",1,7.81406796965403
6,"gaussian","q90",2,5.2300502745901
6,"gaussian","q90",4,2.66349032081886
6,"gaussian","q90",8,0.775022427703757
6,"gaussian","q90",12,0.233429201139404
6,"flexible","q10",0.25,6.25895373873329
6,"flexible","q10",0.5,5.67107518015905
6,"flexible","q10",1,4.60150320759836
6,"flexible","q10",2,2.78331617099429
6,"flexible","q10",4,0.855622445827248
6,"flexible","q10",8,0.0720088852214429
6,"flexible","q10",12,0.00592593280618428
6,"flexible","q50",0.25,8.55891453351698
6,"flexible","q50",0.5,7.68622236994081
6,"flexible","q50",1,6.1803437116334
6,"flexible","q50",2,4.05664955475607
6,"flexible","q50",4,1.79113484544645
6,"flexible","q50",8,0.346394811403125
6,"flexible","q50",12,0.0663888717778389
6,"flexible","q90",0.25,11.6467928863514
6,"flexible","q90",0.5,10.3150185359669
6,"flexible","q90",1,8.20193562177235
6,"flexible","q90",2,5.60620651211105
6,"flexible","q90",4,2.97429276167193
6,"flexible","q90",8,0.951362237250831
6,"flexible","q90",12,0.315243529682693
7,"truth","q10",0.25,6.24774377225268
7,"truth","q10",0.5,5.62323908157432
7,"truth","q10",1,4.4643676499867
7,"truth","q10",2,2.57899725097421
7,"truth","q10",4,0.733966799028824
7,"truth","q10",8,0.0543969688640314
7,"truth","q10",12,0.00392562031931134
7,"truth","q50",0.25,8.48067086584799
7,"truth","q50",0.5,7.58197373655724
7,"truth","q50",1,6.05096989107465
7,"truth","q50",2,3.92836790594524
7,"truth","q50",4,1.68813448818037
7,"truth","q50",8,0.306565548150483
7,"truth","q50",12,0.0557052827728727
7,"truth","q90",0.25,11.464796581399
7,"truth","q90",0.5,10.1462773962201
7,"truth","q90",1,8.08004671556735
7,"truth","q90",2,5.55451076010246
7,"truth","q90",4,2.94369364738675
7,"truth","q90",8,0.926657074380812
7,"truth","q90",12,0.301350108447867
7,"gaussian","q10",0.25,5.73775654711622
7,"gaussian","q10",0.5,5.04003547224187
7,"gaussian","q10",1,3.74454030455168
7,"gaussian","q10",2,1.85070431523019
7,"gaussian","q10",4,0.393019468834199
7,"gaussian","q10",8,0.016322380595689
7,"gaussian","q10",12,0.000652380260578512
7,"gaussian","q50",0.25,7.97730517295171
7,"gaussian","q50",0.5,6.98976823967159
7,"gaussian","q50",1,5.39334105045351
7,"gaussian","q50",2,3.28468652503707
7,"gaussian","q50",4,1.23315539100965
7,"gaussian","q50",8,0.170696288403609
7,"gaussian","q50",12,0.0234322482968957
7,"gaussian","q90",0.25,11.0496653428703
7,"gaussian","q90",0.5,9.61982461575806
7,"gaussian","q90",1,7.50585047613461
7,"gaussian","q90",2,4.99041012360813
7,"gaussian","q90",4,2.48851007147304
7,"gaussian","q90",8,0.687329088661464
7,"gaussian","q90",12,0.196696870834877
7,"flexible","q10",0.25,5.95893850171676
7,"flexible","q10",0.5,5.35091248648629
7,"flexible","q10",1,4.22791768840618
7,"flexible","q10",2,2.41958571034478
7,"flexible","q10",4,0.665820215659264
7,"flexible","q10",8,0.0460066784113932
7,"flexible","q10",12,0.00306975169471582
7,"flexible","q50",0.25,8.27201196882831
7,"flexible","q50",0.5,7.37788699232852
7,"flexible","q50",1,5.86838613859713
7,"flexible","q50",2,3.78191627163804
7,"flexible","q50",4,1.6093914934369
7,"flexible","q50",8,0.285867331592363
7,"flexible","q50",12,0.0507761192616673
7,"flexible","q90",0.25,11.4367576813826
7,"flexible","q90",0.5,10.1080483599215
7,"flexible","q90",1,8.02587691264917
7,"flexible","q90",2,5.48557513877977
7,"flexible","q90",4,2.88578029648324
7,"flexible","q90",8,0.906665441285569
7,"flexible","q90",12,0.294859725173477
8,"truth","q10",0.25,6.24774377225268
8,"truth","q10",0.5,5.62323908157432
8,"truth","q10",1,4.4643676499867
8,"truth","q10",2,2.57899725097421
8,"truth","q10",4,0.733966799028824
8,"truth","q10",8,0.0543969688640314
8,"truth","q10",12,0.00392562031931134
8,"truth","q50",0.25,8.48067086584799
8,"truth","q50",0.5,7.58197373655724
8,"truth","q50",1,6.05096989107465
8,"truth","q50",2,3.92836790594524
8,"truth","q50",4,1.68813448818037
8,"truth","q50",8,0.306565548150483
8,"truth","q50",12,0.0557052827728727
8,"truth","q90",0.25,11.464796581399
8,"truth","q90",0.5,10.1462773962201
8,"truth","q90",1,8.08004671556735
8,"truth","q90",2,5.55451076010246
8,"truth","q90",4,2.94369364738675
8,"truth","q90",8,0.926657074380812
8,"truth","q90",12,0.301350108447867
8,"gaussian","q10",0.25,6.71456151103213
8,"gaussian","q10",0.5,5.86113282836656
8,"gaussian","q10",1,4.29420520362707
8,"gaussian","q10",2,2.06541347176662
8,"gaussian","q10",4,0.422147799437949
8,"gaussian","q10",8,0.0165877690240885
8,"gaussian","q10",12,0.000642499912768208
8,"gaussian","q50",0.25,9.00893936235876
8,"gaussian","q50",0.5,7.86606258862761
8,"gaussian","q50",1,6.03929344114087
8,"gaussian","q50",2,3.64911570147577
8,"gaussian","q50",4,1.33647824038327
8,"gaussian","q50",8,0.176424963156924
8,"gaussian","q50",12,0.0233378611972434
8,"gaussian","q90",0.25,12.0322170281217
8,"gaussian","q90",0.5,10.4963838788019
8,"gaussian","q90",1,8.21360192116619
8,"gaussian","q90",2,5.47816128475659
8,"gaussian","q90",4,2.71973464264571
8,"gaussian","q90",8,0.730251861180638
8,"gaussian","q90",12,0.200182210069893
8,"flexible","q10",0.25,6.73327775802252
8,"flexible","q10",0.5,5.98654561785171
8,"flexible","q10",1,4.63048899272477
8,"flexible","q10",2,2.52785579553347
8,"flexible","q10",4,0.646185295682432
